JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：BOM_JLCPCB-JLCPCB Assembly Order.xlsx,,,Download Time：2025-08-14 08:57:44,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：66.2286,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"R1,R9,R10,R16,R17,R18,R21,R23,R25,R26,R28,R29,R30,R31,R46",,10K,0603,,Select by System,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25804,https://jlcpcb.com/partdetail/26547-0603WAF1002T5E/C25804,Basic,75,75 JLCPCB,0.0675
"R2,R34,R35,R38,R49,R52",,4.7K,0603,,Select by System,0603WAF4701T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 4.7kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23162,https://jlcpcb.com/partdetail/23889-0603WAF4701T5E/C23162,Basic,30,30 JLCPCB,0.033
"R3,R4,R5,R6,R7",,47K,0603,,Select by System,0603WAF4702T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 47kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25819,https://jlcpcb.com/partdetail/26562-0603WAF4702T5E/C25819,Basic,25,25 JLCPCB,0.0275
"R8,R48",,5.1K,0603,,Select by System,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 5.1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23186,https://jlcpcb.com/partdetail/23913-0603WAF5101T5E/C23186,Basic,10,10 JLCPCB,0.01
"R11,R12,R41,R43,R45,R47",,1K,0603,,Select by System,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C21190,https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190,Basic,30,30 JLCPCB,0.03
"R19,R42,R44",,2.2K,0603,,Select by System,0603WAF2201T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 2.2kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C4190,https://jlcpcb.com/partdetail/4597-0603WAF2201T5E/C4190,Basic,15,15 JLCPCB,0.015
"R20,R22,R24,R27",,10K,0805,,Select by System,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 10kΩ 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,20,20 JLCPCB,0.034
"R32,R37,R40,R51,R54",,100R,0603,,Select by System,0603WAF1000T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100mW 100Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C22775,https://jlcpcb.com/partdetail/23502-0603WAF1000T5E/C22775,Basic,25,25 JLCPCB,0.025
"R33,R36,R39,R50,R53",,100K,0603,,Select by System,0603WAF1003T5E,UNI-ROYAL(Uniroyal Elec),0603,-55℃~+155℃ 100kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25803,https://jlcpcb.com/partdetail/26546-0603WAF1003T5E/C25803,Basic,25,25 JLCPCB,0.025
"SW1,SW2",,SW_Push,SMD,,Select by System,KMR221GLFS,C&K,SMD,"-40℃~+85℃ 1.9mm 2.8mm 2N 32V 4.6mm 50mA Gull Wing Round Button SPST Surface Mount,Vertical SMD Tactile Switches ROHS",Tactile Switches,,C72443,https://jlcpcb.com/partdetail/CK-KMR221GLFS/C72443,Extended,10,10 JLCPCB,4.89
U1,,STM32H743VIT6,LQFP-100(14x14),,Select by System,STM32H743VIT6,STMicroelectronics,LQFP-100(14x14),1.71V~3.6V 12bit 16bit 2MB 480MHz 82 ARM Cortex-M Series LQFP-100(14x14) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C114409,https://jlcpcb.com/partdetail/STMicroelectronics-STM32H743VIT6/C114409,Extended,5,5 JLCPCB,31.935
U2,,AP7361C,SOT-223R,,Select by System,AP7361C-25ER-13,Diodes Incorporated,SOT-223R,"-40℃~+85℃@(Ta) 1 1A 2.5V 250mV@(1A) 60uA 6V 75dB@(1kHz) Fixed Over Current Protection Positive SOT-223R Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C460396,https://jlcpcb.com/partdetail/DiodesIncorporated-AP7361C_25ER13/C460396,Extended,5,5 JLCPCB,0.736
U8,,AP63203WU,TSOT-23-6,,Select by System,AP63203WU-7,Diodes Incorporated,TSOT-23-6,-40℃~+85℃@(TA) 1 1.1MHz 22uA 2A 3.3V 3.8V~32V Buck Buck Built-In Fixed Yes TSOT-23-6 DC-DC Converters ROHS,DC-DC Converters,,C780769,https://jlcpcb.com/partdetail/DiodesIncorporated-AP63203WU7/C780769,Extended,5,5 JLCPCB,1.7925
Y2,,25MHz,SMD3225-4P,,Select by System,X322525MOB4SI,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 12pF 25MHz Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9006,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322525MOB4SI/C9006,Basic,5,5 JLCPCB,0.321
F1,,Fuse,,,No matches,No Part Selected,,,,,,,,,,,
"U4,U5,U6,U7",,TMCStepstick,,,No matches,No Part Selected,,,,,,,,,,,
